Item_No,SMU_F1_CogPosVal,SMU_F2_PhysPosVal,SMU_F3_BroadNegVal,SMU_F4_NegAtt,SMU_F5_Prog,SMU_F6_PosAtt,SMU_F7_CompSoc,SMU_F8_Flo
24,0.942904145,,,,,,,
25,0.922283187,,,,,,,
138,0.900760035,,,,,,,
82,0.900373775,,,,,,,
110,0.884476368,,,,,,,
81,0.866193854,,,,,,,
189,0.860146007,,,,,,,
231,0.853088218,,,,,,,
137,0.852195695,,,,,,,
190,0.835412683,,,,,,,
262,0.833222469,,,,,,,
54,0.820620511,,,,,,,
246,0.818173413,,,,,,,
109,0.798058235,,,,,,,
165,0.795145048,,,,,,,
247,0.790021437,,,,,,,
212,0.751449978,,,,,,,
166,0.750175807,,,,,,,
263,0.744946438,,,,,,,
211,0.72660923,,,,,,,
275,0.698045035,,,,,,,
136,0.697473864,,,,,,,
229,0.688716653,,,,,,,
53,0.683335796,,,,,,,
188,0.676696858,,,,,,,
230,0.666247275,,,,,,,
163,0.636524103,,,,,,,
80,0.634868598,,,,,,,
52,0.605284354,,,,,,,0.283238632
301,0.597197428,0.25328297,,,,,,
135,0.585111289,,,,,,,
196,0.579975339,,,,,,,
308,0.558273385,,,,,,,
187,0.50944615,0.296841063,,,,,,
51,0.501815504,,,,,,,
261,0.497324386,,,,,,,
210,0.494161114,,,,,,,0.279407503
22,0.493045414,0.287199058,,,,,,
164,0.489161711,,,,,,,
107,0.482615359,0.283092895,,,,,,
79,0.473784354,0.415360071,,,,,,
294,0.465927956,,,,,,,
89,0.459244641,,,,,,,
310,0.459005002,,,,,,,
296,0.458037781,,,,,,,
90,0.442307884,,,,,,,
111,0.438185104,0.332735695,,,,,,
239,0.421647543,,,,,,,
59,0.408294111,,,,,,,
167,0.403301213,,,,,,,
312,0.384106097,,,,,,,
291,0.382857279,,,,,,,
87,0.380277273,,,,,,,
197,0.378086462,0.280205803,,,,,,
304,0.377417004,0.376018482,,,,,,
33,0.371510188,,,,,,,
97,0.366993367,0.262704394,,,,,,
214,0.349449075,,,,,,,
252,0.325732304,,,,,,,
268,0.292409128,,,,,,,
219,0.286393596,,,,,,,
306,0.276028694,,,,,,,
148,0.272285059,,,,,,,
38,0.252100981,,,,,,,
276,,,,,,,,
150,,,,,,,,
265,,0.807522071,,,,,,
27,,0.770396662,,,,,,
57,,0.758794067,,,,,,
55,,0.758203926,,,,,,
168,,0.750802106,,,,,,
191,,0.749278916,,,,,,
216,,0.744521322,,,,,,
193,,0.742728527,,,,,,
85,,0.7391991,,,,,,
277,,0.731212177,,,,,,
56,,0.728242216,,,,0.287339623,,
112,,0.711681745,,,,,,
141,,0.708353636,,,,,,
180,,0.706705677,,,,,,
266,,0.683780358,,,,,,
203,,0.677719629,,,,,,
169,,0.665147695,,,,,,
86,,0.66168093,,,,,,
28,,0.661224383,,,,,,
11,,0.655095178,,,,,,
98,,0.643414316,,,,,,
232,,0.636339208,,,,,,
58,,0.630562741,,,,,,
264,,0.628210755,,,,,,
173,,0.626858141,,,,,,
215,,0.623995396,,,,,,
209,,0.621524978,,,,,,
157,,0.618188138,,,,0.252785078,,
41,,0.611648936,,,,,,
175,,0.604501538,,,,,,
113,0.264557644,0.603766636,,,,,,
249,,0.590232635,,,,,,
139,,0.587515285,,,,,,
142,,0.56720695,,,,,,
143,,0.551905569,,,,,,
70,,0.549647458,,,,,,
236,,0.540857025,,,,,,
234,,0.530524517,,,,,,
19,,0.519296376,,,,,,
63,,0.519122673,,,,,,
248,,0.518667408,,,,,,
206,,0.517232935,,,,,,
84,,0.500055615,,,,0.48362058,,
146,,0.494655951,,,,,,0.253589833
280,,0.491263197,,,,,,
241,,0.482866521,,,,,,
114,,0.475360169,,,,,,
258,,-0.472586074,,,0.392569632,,,
272,,-0.471581054,,,0.439509009,,,
140,,0.461389006,,,,,,
17,,0.443085847,,0.403638312,,0.27900188,,
243,0.252107056,-0.442429014,,,0.357890354,,,
259,,-0.441094234,,,0.41778824,,,
225,,0.431536221,,,0.393575724,,,
118,0.272788225,0.42397827,,,,,,
83,,0.423626474,,,,,,
106,,0.418349291,,,,,,
119,,0.405128673,0.392649211,,,,,
26,,0.403848873,,,,,,
202,,0.39536045,,,,,,
303,,0.368199851,,,,,,
115,,0.356686837,,,,,,
192,0.274192017,0.308840715,,,,,,
238,,0.303687873,,,,,,
213,0.294191284,0.298826788,,,,,,
123,,0.293457825,,,,,,
125,,0.290449973,,,,,,
300,,,,,,,,
224,,,,,,,,
285,,0.308636334,0.791974847,,,,,
35,,0.339353347,0.767227479,,,,,
270,,,0.726940801,,,,,
174,,,0.718122044,,,,,
92,,,0.712024137,,,,,
254,,0.378786536,0.704151058,,,,,
3,,,0.696483794,,,,,
64,,0.270783481,0.660591857,,,,,
199,,0.451266794,0.638049282,,,,,
307,,,0.635591861,,,,,
221,,,0.631390931,,,,,
185,,,0.620416012,,,,,
49,,,0.62005375,,,,,
274,,,0.618675233,,,,,
253,,,0.618438231,,,,,
198,,0.329351418,0.612924119,,,,,
289,,,0.607553588,,,,,
62,,,0.591314308,,,,,
302,,,0.584455736,,,,,
20,,,0.581324689,,,,,
161,,,0.58050528,,,,,
245,,,0.563222018,,,,-0.263388775,
77,,,0.56223224,,,,,
286,,,0.544605155,,,,,
260,,,0.529432889,,,,,
40,,,0.522132755,0.274825856,,,,
34,,,0.517130105,,,,,
226,,,0.509140867,,,,,
295,,,0.498051017,,,,,
147,,,0.493933199,,,,,
120,,0.283045012,0.478932689,,,,,
220,,,0.478591349,,,,,
311,0.292846037,,-0.476300977,,,,,
297,,,0.475103021,,,,,0.332937575
2,,0.278940689,0.454352587,,,,,-0.257117673
207,,,0.451208233,,,,-0.321776385,
292,,,0.449312121,,,,,
269,,,0.444937248,,,,,
227,,,0.442911751,,,,,-0.295783826
205,,,0.442064335,,,,,
1,,,0.44010027,,,,,-0.289472758
228,,,0.429042843,,,,,
244,,,0.429016413,,,,,
237,,,0.420795197,,,,-0.260054113,
290,,,0.418884392,,,,,0.267116462
299,,-0.289905852,0.409079585,,,,,
288,,,0.402241459,,,,,
69,,,0.392388667,,,,,
293,,,0.38565758,,,,,
218,,,0.384809769,,,,,-0.367452375
153,,,0.379546225,,,,,-0.256105081
251,,,0.376309522,0.289655197,,,,
133,,-0.274551412,0.36958088,,,,,
267,,,0.368757849,,,,,
4,,,0.366939629,,,,,
281,,,0.363025273,,,,,
9,,,0.362639528,,,,,
257,,,0.349666517,,,,,
271,,,0.329697662,,,,,
208,0.31751661,,0.328406089,,,,,
105,,,0.324862961,,,0.252306201,,
284,,-0.296126039,0.320869801,,,,,
309,,,0.296599138,,,,,
126,,-0.26292726,0.28570035,,,,,
65,,-0.253233655,0.278218437,,,,,
100,,,,0.805629335,,,,
158,,,,0.751409259,,,,
130,,,,0.724793918,,,,
156,,,,0.703286961,,,,
204,,,,0.700505203,,,,
43,,,,0.697604912,,,,
10,,,,0.69595977,,,,
182,,,,0.686669923,,,,
74,,,,0.68390587,,,,
72,,,,0.653334393,,,,
233,,,,0.649509595,,,,
287,,,,0.62211859,,,,
102,,,0.284270545,0.602223645,,,,
16,,,,0.577413031,,,0.255494711,
128,,,,0.544423196,,,,
131,,,,0.532853407,0.38674749,,,
256,,,0.260990596,0.494305572,,,,
13,,,,0.482997521,,,,
298,,,0.261005547,0.467615393,,,,
154,,,,0.448027153,,,,
48,,0.260599321,,0.438217714,0.380188086,,,
46,,,,0.407667805,,,,
44,,,,-0.407598381,,,,0.295103409
240,,,0.266441498,0.315168763,,,,
273,,,,,0.759181252,,,
18,,,,,0.749605732,,,
160,,,,,0.746880875,,,
47,,,,,0.723370724,,,
242,,,,,0.713352675,,,
132,,,,,0.709306458,,,
283,,,,,0.660562701,,,
159,,0.296528413,,,0.646941252,,,
184,,0.280089,,,0.646355905,,,
104,,,,,0.623721159,,,
75,,0.354359696,,,0.589167068,,,
103,,,,,0.587693302,,,
183,,,,,0.558524774,,,
76,,0.262260187,,,0.544895767,,,
200,,,,,0.367595961,,,
186,,,,,,,,
99,,,,,,0.795977885,,
45,,,,,,0.772294447,,
12,,,,,,0.760409611,,
181,,,,-0.256327825,,0.66728521,,
101,,0.299755146,,,,0.625552929,,
42,,,,,,0.598051963,,
127,,,,-0.292972461,,0.54938961,,
15,,0.472597286,,,,0.542004385,,
71,,0.254603374,,,,0.479916572,,
129,,,,,,0.470621268,,
73,,0.391590506,,,,0.469541416,,
14,,0.324650096,,0.35922204,,0.442747581,,
155,,,,,,0.43695878,0.343245308,
124,,,,,,0.424919225,0.342519792,
94,,,,,,0.41832142,0.401113893,
282,,0.363025759,0.293230846,,,0.408286673,,0.259387016
39,,,,,,0.336263719,,
122,,0.255359324,,,,0.271600503,,
255,,,,,,,,
178,,,,,,0.287938753,0.688757816,-0.254700827
8,,,,,,0.254344904,0.634366635,
152,,,,,,0.302856622,0.629871702,
96,,,,,,0.260100922,0.614540333,
5,,,,,,,0.547408417,
36,,,,,,,0.530134292,
201,,,,0.291200242,,,0.48496208,-0.410191407
176,,,,,,,0.46829999,
95,,0.315318433,,,,,-0.458812377,0.35473725
68,,,,,,0.326633356,0.449773083,
93,,,,,,,0.42461287,0.282714179
121,,,,,,,0.424212697,
66,,,,,,,0.374454264,
6,,,,,,,0.37390213,
149,,,,,,,0.369584486,
37,,,,,,,0.369189467,
151,,,,,,,-0.268944583,
222,,,,,,,,
116,,,,,,,,0.717392525
60,,,,,,,,0.576155482
31,,,,,,,,0.571507785
21,,,,,,,,0.517797642
172,,,,,,,,0.509260139
32,0.331434723,,,,,,,0.507952399
144,,,,,,,,0.503093226
170,,,,,,,,0.498116564
162,,,,,,,,0.491724774
61,,,,,,,,0.474387724
195,,,,,,,,0.459057203
217,,,,,,,,0.458744445
67,,,,,,,-0.318188582,0.440524518
78,,,,,,,,0.440050751
235,,,,,,,,0.433632178
108,0.307334476,,,,,,,0.404004654
250,,,,,,,,0.399002188
171,,,,,,,,0.3984909
279,,,,,,,,0.397787411
29,,,,,,,,0.397558582
23,0.31804898,,,,,,,0.389195633
117,0.315494852,,,,,,,0.371803785
50,,,,,,,,0.366594184
278,,,,,,,,0.365867066
194,,,,,,,,0.353500622
91,,,,,,,,0.349010729
145,,,0.302424177,,,,,-0.345805718
305,,,,,,,,0.341404266
179,,0.310280252,,,,,,0.329827761
223,,,0.272006514,0.313716577,,,,-0.322745606
30,,,,,,,0.258080884,0.299689167
134,,,0.289945747,,,,,-0.297006587
7,,,,,,,,0.280112877
88,,,,,,,,0.250903593
177,,,,,,,,