Item_No,Com_Neg_F1_Time,Com_Neg_F2_NegApp,Com_Neg_F3_NegApp,Com_Neg_F4_Flow_Prelim,Com_Neg_F5_NegApp_Prelim,Com_Neg_F6_NegApp_Prelim
77,0.834793334,,,,,
227,0.834015506,,,,,
245,0.830301885,,,,,
20,0.814226646,,,,,
49,0.808273139,,,,,
228,0.793225565,,,,,
161,0.759226712,,,,,
207,0.72788636,,,,,
218,0.612782721,,,,,
1,0.61062007,,,,,
260,0.596480943,,,,,
302,0.516907187,,,,,
133,0.487552195,,,,,
244,0.483310431,,,,,
220,0.429801839,,0.250506374,,,
147,0.422520141,,,,,
126,0.364076242,,,,,
105,0.341705928,,,,,
62,0.264527167,,,,,
204,,0.869998125,,,,
156,,0.863897553,,,,
182,,0.8623449,,,,
72,,0.808147848,,,,
74,,0.807818864,,,,
44,,-0.766055789,,,,
10,,0.756961714,,,,
43,,0.725446946,,,,
100,,0.720330289,,,,
158,,0.691898549,,,,
130,,0.676510633,,,,
223,0.27658557,0.56989065,,,,
298,,0.546569154,0.322577442,,,
287,-0.363426975,0.497274062,,,,0.327086816
153,0.272045776,0.401946205,,,,
240,,0.38057558,,,,
256,,0.322045734,,,,0.27714357
271,,,0.860942523,,,
69,,,0.836869679,,,
309,,,0.835656278,,,
267,,,0.698713706,,,
288,,,0.618631007,,,
224,,,-0.56862049,-0.385230765,,
257,,,0.488901534,,,
40,,,0.462974934,,,
154,,,0.428163601,,,
251,,,0.425046571,,,
299,,,0.381817776,,,
201,,,0.335207526,,,
9,,,0.292754159,,,0.254931188
37,,,0.27733186,,0.262614773,
78,,,,-0.788999678,,
50,,,,-0.772744768,,
125,,-0.351315231,,-0.557263331,,0.351749311
146,,,-0.28190637,-0.5324089,,
32,,,,-0.381223905,,
235,-0.279035837,,,-0.372049275,,
91,-0.302216715,,,-0.369646336,,
134,,,,,,
46,,,,,0.80050055,
13,,,,,0.678922111,
16,,,,,0.545224633,
128,,,,,0.482641264,
102,,0.359012524,,,0.412736871,
14,,,,,,0.704253592
17,,,,,,0.697060329
233,,,,,,0.440703627
208,0.295901478,,,,,0.379330651