Item_No,MTurk_Overall_F3_Cog,MTurk_Overall_F4_PosApp,MTurk_Overall_F5_Prog,MTurk_Overall_F7_Flow
265,,,,
28,,,,
27,,,,
277,,,,
112,,,,-0.273068644
180,,,,
140,,,,
57,,,,
85,,,,
98,,,,
141,,,,
232,,,,
191,,,,
169,,,,
236,,,,
86,,,,
55,,,,
216,,,,
168,,,,
84,,0.332261491,,
173,,,,
11,,,,
56,,0.296366334,,-0.266531832
248,,,,
143,,,,
113,,,,
76,,,0.284630939,
193,,,,
206,,,,
215,,,,
41,,,,
175,,,,
139,,,,
203,,,,
202,,,,
70,,,,
213,,,,
241,,,,
26,,,,
48,,,0.308310574,
266,,,,
225,,,0.427971905,
58,,,,
249,,,,
142,,,,
234,,,,
264,,,,
19,,,,
304,,,,
192,,,,
132,,,0.416625101,
104,,,0.448620736,
114,,,,
209,,,,
159,,,0.461362582,
146,,,,
83,,,,
300,,,,
301,0.277276555,,,
177,,,,
224,,,,
157,,0.343812876,,
148,,,,
303,,,,
118,,,,
63,,,,
75,,,0.457103748,
119,,,,
239,,0.269096256,,
115,,,,
233,,,,
131,,,0.354116814,
280,,,,
184,,,0.461738112,
238,,,,
167,0.348019304,,,
179,,,,
79,0.427946495,,,
183,,,0.356025465,
107,0.39458371,,,
125,,,,
306,,,,
17,,0.349546992,,
111,0.361157055,,,
312,0.392507017,,,
14,,0.301601575,,
214,0.301579116,,,
219,0.297899834,,,
200,,,,
105,,0.349809473,,
305,,0.274926601,,
123,0.282988216,,,0.25423969
29,,,,0.263371429
170,,,,
61,,,,
30,,,,
38,,,,
67,,,,
186,,,,
270,,,,
92,,,,
253,,,,
174,,,,
3,,,,
307,,,,
289,,,,
198,,,,
254,,,,
161,,,,
120,,,,
285,,,,
297,,,,
35,-0.321846086,,,
267,,,,
288,,,,
223,,,,
34,,,,
199,,,,
69,,,,
64,,,,
293,,,,
269,,,,
220,,,,
1,,,,
185,,,,
302,,,,
218,,,,-0.268158854
274,,,,
153,,,,
271,,,,
299,,,,
237,,,,
295,,,,
40,,,,
286,,,,
126,,,,
228,,,,
20,,,,
251,,,,
309,,,,
245,,,,
207,,,,
256,,,,
49,,,,
257,,,,
62,,,,
226,,,,
156,,,,
290,,,,
227,,,,
244,0.277191481,,,
221,,,,
298,,,,
284,,,,
46,,,,
145,,,,
77,,,,
260,,,,
205,,,,
147,,,,
9,,,,
43,,,,
292,,0.297773085,,
102,,,,
10,,,,
281,,,,
154,,,,
2,,,,
13,,,,
240,,,,
182,,,,
130,,,,
74,,,,
204,,,,
16,,,,
287,,,,
133,,,,
134,,,,
4,,0.340759047,,
172,,0.324972601,,0.303936234
128,,,,
250,,,,0.269605641
279,,,,
208,,,,
262,0.815943006,,,
24,0.789840872,,,
110,0.769484957,,,
247,0.748737749,,,
81,0.74864384,,,
246,0.739507203,,,
25,0.732939662,,,
189,0.730855529,,,
53,0.72139529,,,
275,0.715800452,,,
231,0.715381129,,,
166,0.709035824,,,
211,0.708766237,,,
263,0.704898563,,,
109,0.703271484,,,
190,0.701144542,,,
54,0.688435474,,,
212,0.682124871,,,
230,0.674836298,,,
229,0.663868869,,,
138,0.661770789,,,
137,0.659831883,,,
165,0.659456168,,,
82,0.649858896,,,
188,0.648477902,,,
136,0.639957726,,,
51,0.619881964,,,
108,0.608040645,,,
294,0.587983642,,,
135,0.584963767,,,
163,0.574928088,,,
22,0.574505364,,,
80,0.567285994,,,
196,0.566299854,,,
52,0.553422065,,,
308,0.545398351,,,
310,0.524981997,,,
311,0.510551697,,,
291,0.510366523,,,
296,0.49650935,,,
210,0.483528585,,,
261,0.473346059,,,
23,0.473288343,,,
90,0.459746036,,,
89,0.455615037,,,
187,0.450157394,,,
259,0.448208451,,0.34455992,
164,0.44005425,,,
243,0.430397886,,0.338557356,
258,0.424266005,,0.357718647,
197,0.405465846,,,
272,0.405439338,,0.384400914,
32,0.402266683,,,
252,0.392465832,,,
97,0.391196672,,,
276,0.379193042,,,
117,0.344374293,,,
268,0.343930439,,,
151,0.31488085,,,0.26094645
59,0.314114174,,,
33,0.294666824,0.266879766,,
7,0.285050173,,,
171,0.250200759,,,
95,,,,
124,,0.761358496,,
12,,0.75218486,,
181,,0.751541551,,
94,,0.742344539,,
45,,0.73880976,,
99,,0.733641885,,
101,,0.72656737,,
155,,0.722429375,,
68,,0.717003671,,
93,,0.706292346,,
42,,0.698431464,,
36,,0.689020418,,
129,,0.686595028,,
5,,0.683118954,,
121,,0.667139909,,
73,,0.660915597,,
71,,0.652998803,,
96,,0.651456171,,
178,,0.634837221,,
127,,0.63256882,,
8,,0.6188583,,
149,,0.614033515,,
152,,0.610406956,,
66,,0.594353362,,
176,,0.588046493,,
39,,0.53597266,,
15,,0.493269715,,
122,,0.479815952,,
222,,0.472716517,,
201,,0.462816513,,
37,,0.44152938,,
282,,0.418614588,,
65,,0.403344278,,
255,,0.402461164,,
6,,0.398515967,,
87,0.287538909,0.37240025,,
44,,0.366742524,,
194,,0.306303768,,
150,0.250932161,0.292394586,,
91,,0.271226515,,
88,,,,
283,,,0.646475317,
47,,,0.643276549,
242,,,0.607274498,
273,,,0.600504382,
160,,,0.581022196,
103,,,0.568554093,
18,,,0.542609801,
158,,,,
100,,,,
72,,,,
162,,,,0.548248546
21,,,,0.538672967
50,,,,0.50002058
78,,,,0.471008669
31,,,,0.430118028
217,,,,0.413249526
106,,,,0.376914236
60,,,,0.358932175
116,0.274321001,0.313319012,,0.357566787
144,0.295045963,,,0.348250013
235,,0.31232663,,0.328054345
278,,,,0.290344697
195,,0.256849585,,0.277593179