Item_No,MTurk_Pos_F1_Pride,MTurk_Pos_F2_Phys,MTurk_Pos_F3_Phys,MTurk_Pos_F4_Prog
125,0.800288346,,,
236,0.753170484,,,
202,0.715687447,,,
118,0.71386584,,,
180,0.707006348,,,
173,0.687708678,,,
70,0.681360956,,,
203,0.665245581,,,
146,0.646142341,0.288783711,,
303,0.635702345,,,
179,0.624408652,,,
98,0.623147863,,,
169,0.599113017,,,
215,0.596095881,0.294031335,,
193,0.594355224,0.253394945,,
224,0.594302481,,,
306,0.593468638,,,
28,0.585480962,,,
11,0.585330732,,,
241,0.527889151,,,
41,0.521645016,0.312385603,,
113,0.50553656,,,
57,0.493663565,0.308188366,,
280,0.477769266,0.272515515,,
115,0.459211041,,,
238,0.457458653,,,
143,0.447878372,0.271240986,,
19,0.440033118,,,
141,0.424677218,0.402399737,,
239,0.411606976,,0.344672222,
312,0.402003805,0.337230657,,
111,0.349304053,0.319664346,,
175,0.326166002,,,
79,0.315074447,0.276190319,,
264,,0.704800223,,
301,,0.700108122,,
213,,0.66293418,,
304,,0.651635104,,
139,,0.642452977,,
191,,0.64032844,,
26,,0.633602257,,
55,,0.632035398,,
86,,0.619056258,,
148,,0.608026731,,
216,,0.605553732,,
58,,0.564597659,,
248,0.304654161,0.551203739,,
300,,0.532532951,,
209,0.36110982,0.523534653,,
167,,0.517234916,,
232,,0.512944539,,
234,,0.512530618,,
107,0.341702344,0.493977228,,
85,0.460437254,0.482077317,,
266,,0.444994654,,
83,,0.412427889,0.275441357,
63,0.256004348,0.346899547,,
140,,0.333905116,,0.272533009
114,,0.276402622,,
142,,0.255910947,,
112,,,0.759514781,
56,,,0.685646626,
277,,,0.680662408,
168,,,0.628055177,
27,,0.31618329,0.590364107,
249,,,0.579204135,
84,0.262601487,,0.566718637,
265,,0.342076901,0.529252398,
157,,,0.48689268,
192,0.291334128,,0.419381014,
131,,,,0.725445819
48,,,,0.638930001
104,,,,0.607320893
159,,,,0.561425033
225,,,,0.536666535
132,,,,0.527720629
184,0.287270047,,,0.505928876
75,,0.276520798,,0.490840673
17,,-0.450692241,0.40327222,0.476952254
183,,0.332685453,,0.394133154
76,,,,0.388632682
233,,,,0.357006265
206,0.266999505,,,0.315558071
119,,,,0.281524982
177,,,,