Item_No,SMU_Neg_F1_Time,SMU_Neg_F2_Dislike_Prelim,SMU_Neg_F3_NegApp,SMU_Neg_F4_Pain,SMU_Neg_F5_NegHealth_Prelim,"SMU_Neg_F6_Pain "
49,0.820675636,,,,,
20,0.786728537,,,,,
227,0.648280651,0.33287647,,,,
260,0.640465483,-0.324704614,0.330192812,,,
244,0.604389432,,0.287133744,,,
77,0.567130841,,,,,
207,0.534977152,0.354509305,,,,
245,0.464753926,,,,,
228,0.461533877,,,,,
4,0.323940644,,,,,
105,0.31134146,,,,,
62,0.298677455,,,,,
133,0.285822323,,,,,-0.273238751
208,0.284830696,,,,,
185,0.260775009,,,0.253419093,,
9,,0.756064895,,,,
237,,0.735387614,,,,
218,,0.696213263,,,,
153,,0.63651046,,,,
1,,0.562616302,,,,
2,,0.490362702,,,,
34,,0.46927559,,,,
269,,0.431730252,,,,0.268759043
220,,0.429852925,,,,
161,0.307963568,0.379688803,,,,
302,,0.367326984,,,,
174,,0.349463491,,0.260577957,,
198,,0.338214315,,,,0.335373615
307,,0.323124682,,,,0.25046552
147,,,,,,
309,,,0.829094349,,,
271,,,0.808235798,,,
69,,,0.746906375,,,
257,,,0.652550453,,,
251,,,0.558335963,,,
299,,,0.529084317,,0.307557556,
40,,0.298440174,0.469676021,,,
288,,0.292923705,0.456452393,,,
267,,,0.416894599,,,
293,,,0.376554726,,,
126,,,0.328489444,,,-0.261854534
285,,,,0.707515493,,
311,,,,-0.682635827,,
35,,,,0.649358564,,
221,,,,0.629318386,,
64,,,,0.614901258,,
254,,,,0.601153937,,
199,,,,0.524375264,,0.412172649
226,,,,,0.689773568,
284,,,,,0.673951091,
205,,,-0.271517736,,0.579919996,
290,,,,,0.561163437,
292,,,,,0.530566897,
281,,,,,0.519608828,
65,,,,,0.498291877,
274,,,,,0.397797281,
295,,,,,0.378158623,
289,,,0.328264057,,0.329678684,
92,,,,,,0.506258218
270,,,,,0.281633249,0.494409897
3,,,,,,0.486137709
297,,,,,,0.45356823
120,,,,,,0.447142929
253,,,,,,0.43208893
286,,,,,0.333694215,0.369116592