Item_No,SMU_Pos_F1_Cog,SMU_Pos_F2_Phys,SMU_Pos_F3_Pride,SMU_Pos_F4_Cog_Prelim,SMU_Pos_F5_RelNeg_Prelim
231,0.889251273,,,,
24,0.873632461,,,,
189,0.86172703,,,,
25,0.829749711,,,,
81,0.823118941,,,,
190,0.818574712,,,,
109,0.809751681,,,,
82,0.80455593,,,,
136,0.790836303,,,,
262,0.790669142,,,,
137,0.78981361,,,,
246,0.784469356,,,,
110,0.775478086,,,,
138,0.769756553,,,,
80,0.768727488,,,,
165,0.767025986,,,,
166,0.742068342,,,,
211,0.738433194,,,,
247,0.727232375,,,,
212,0.724760649,,,,
275,0.70854988,,,,
210,0.703820644,,,,
54,0.694995338,,,,
188,0.694700475,,,,
229,0.692306681,,,,
164,0.679248667,,,,
263,0.64812651,,,,
230,0.641597132,-0.274033826,0.280088396,,
52,0.596638684,,,,
163,0.585873024,,,,
53,0.539111561,,0.266244126,,
187,0.483972888,,,,
135,0.476319963,,,,0.295332543
261,0.438078844,,,,0.269847049
167,0.434564847,0.282387407,,,
239,0.434510602,,,,
196,0.428882593,,,,0.381606626
301,0.421368736,,,,0.361595566
59,0.413629229,,0.345212313,,
107,0.412244456,,,,
87,0.399385227,,,,
214,0.389304145,,,,
90,0.387071838,,0.254443098,,
89,0.386947029,,,,
111,0.376841628,0.273247535,,,
38,0.34185426,,,,
291,0.341247497,,,,
197,0.311417836,,0.309216417,,
112,,0.866257429,,,
265,,0.841659017,,,
168,,0.818941442,,,
277,,0.808562285,,,
27,,0.766592201,,,
232,,0.715292792,,,
249,,0.69518419,,,
55,,0.692704116,,,
216,,0.677010145,,,
56,,0.652583581,,,
157,,0.639385909,,,
142,,0.63285489,,,
86,,0.626107428,,,
191,,0.624427399,,,
141,,0.60542631,,,
264,,0.602402933,,,
140,,0.598711841,,,
58,,0.58717732,,,
266,,0.578909949,,,
85,,0.572819872,,,
193,,0.569991208,,,
139,,0.561862469,,,
209,,0.554830078,,,
234,,0.526506462,,,
213,0.310420588,0.526345274,-0.265411951,,
57,,0.513457814,0.375374013,,
169,,0.497219926,,,
83,,0.491624729,,,
26,,0.488047153,,,
215,,0.480923897,,,
84,,0.449615051,,,
180,,0.44701262,0.413961216,,
203,,0.442584556,0.430483724,,-0.257348996
113,,0.437714754,,,0.281728548
206,,0.428817022,0.333595449,,-0.276741645
248,,0.420873842,,,
106,,0.420240802,,,
63,,0.419533575,,,
192,0.309304255,0.416142611,,,
17,,0.409364965,,,
119,,0.407370121,,,
28,,0.388118964,0.329981266,,
114,,0.386525265,,,
70,,0.371396989,0.309122411,,
225,,0.35519886,0.327756278,,
148,0.302866083,0.347211213,,,
115,,0.343916215,,,
143,,0.337103539,,,
41,,0.282120475,0.644235597,,
146,,,0.627835231,,
268,,,0.627260606,,
238,,,0.572315312,,
280,,,0.548169497,,
125,,,0.548097313,,
202,,,0.492209295,,
19,,,0.485641054,,
303,,,0.480634253,,0.358174041
118,,,0.478003733,,
173,,0.368751268,0.457879039,,
241,,0.271389151,0.449384251,,
175,,0.295848873,0.447885906,,
306,,,0.438830359,,
252,,,0.418460869,,
98,,0.369772587,0.414303517,,
236,,0.297866549,0.410246412,,
11,,0.370665617,0.398310367,,
33,0.322837253,,0.394702194,,
97,0.277057663,,0.392733041,,
219,0.282587703,,0.343066833,,
123,,,0.312526343,,
259,,,,0.818155066,
258,,,,0.778981377,
243,,,,0.766390841,
272,,,,0.724532531,
308,0.312397191,,,,0.518035329
310,0.286621902,,,,0.456625716
51,0.328496249,,,,0.448103382
294,0.291173534,,,,0.424202418
312,,,,,0.408584109
79,,,,,0.373986647
304,,0.297477518,,,0.360359008
22,0.303878066,,,,0.346786997
296,0.268776229,,,,0.306022261